Id,Response
1,6
3,6
4,6
9,2
12,8
13,8
21,6
28,8
30,8
36,8
38,8
43,8
45,8
48,8
50,8
51,8
54,8
55,6
59,8
62,2
63,8
66,8
69,8
82,8
83,1
84,1
86,8
89,8
90,6
92,6
98,8
100,7
105,8
115,8
119,6
124,6
127,8
133,8
140,8
141,8
143,7
151,1
154,8
157,8
163,2
166,6
168,8
170,8
173,8
180,6
182,8
184,6
185,8
195,8
196,8
197,5
212,8
213,8
219,8
225,2
227,8
232,2
239,5
247,2
251,7
254,7
261,8
264,1
267,5
272,7
275,8
277,6
283,8
284,6
287,8
291,8
293,8
294,1
305,8
307,8
309,8
311,8
322,8
323,8
326,8
330,8
335,6
337,8
338,8
341,6
346,8
348,6
352,5
356,8
358,8
366,6
369,7
373,7
375,7
381,2
384,8
386,8
396,8
397,8
399,8
405,8
412,8
417,6
421,7
425,8
427,8
430,6
432,7
433,8
436,8
438,8
441,8
442,5
444,6
446,8
448,6
450,8
454,8
465,8
470,6
472,2
475,1
484,8
495,8
497,8
498,8
501,1
502,6
505,8
515,1
516,6
527,5
529,5
531,7
533,8
537,6
541,8
546,8
548,8
549,8
550,8
553,8
559,8
561,8
564,6
574,8
578,8
579,7
580,8
582,6
584,8
588,8
596,6
602,8
603,2
613,8
614,1
619,8
620,5
624,8
625,8
628,6
630,6
635,8
636,6
637,8
641,8
644,8
648,8
654,7
658,8
664,8
666,8
667,5
670,8
672,1
674,8
676,8
684,8
685,6
693,6
694,8
700,6
702,7
703,6
705,1
711,8
718,8
722,5
726,8
727,1
732,8
735,8
740,5
748,8
750,8
751,8
756,8
762,8
766,8
770,8
771,5
779,6
782,1
784,7
793,2
798,6
800,1
801,6
805,8
807,8
813,8
819,8
820,8
822,8
823,8
833,8
834,8
842,8
845,6
856,8
860,1
864,8
869,8
872,8
877,2
878,8
893,8
894,8
896,8
899,8
900,8
911,1
914,8
917,6
919,8
923,1
925,8
926,6
934,8
938,8
940,8
955,1
956,8
971,6
973,8
978,8
979,8
981,8
988,8
990,8
992,6
