Id,Response
1,5
3,5
4,5
9,5
12,5
13,5
21,5
28,5
30,5
36,5
38,5
43,5
45,5
48,5
50,5
51,5
54,5
55,5
59,5
62,5
63,5
66,5
69,5
82,5
83,5
84,5
86,5
89,5
90,5
92,5
98,5
100,5
105,5
115,5
119,5
124,5
127,5
133,5
140,5
141,5
143,5
151,5
154,1
157,5
163,5
166,5
168,5
170,5
173,5
180,5
182,5
184,5
185,5
195,5
196,5
197,5
212,5
213,5
219,5
225,5
227,5
232,5
239,5
247,1
251,5
254,5
261,5
264,5
267,5
272,5
275,5
277,5
283,5
284,5
287,5
291,5
293,5
294,5
305,5
307,5
309,5
311,5
322,5
323,5
326,5
330,5
335,5
337,5
338,5
341,5
346,5
348,5
352,5
356,5
358,5
366,5
369,5
373,5
375,5
381,5
384,5
386,5
396,5
397,5
399,5
405,5
412,5
417,5
421,5
425,5
427,5
430,1
432,5
433,5
436,5
438,5
441,5
442,5
444,5
446,5
448,5
450,5
454,5
465,5
470,1
472,5
475,5
484,5
495,5
497,5
498,5
501,5
502,5
505,5
515,5
516,5
527,5
529,5
531,5
533,5
537,5
541,5
546,5
548,5
549,5
550,5
553,5
559,5
561,5
564,5
574,5
578,5
579,5
580,5
582,5
584,5
588,5
596,5
602,5
603,5
613,5
614,5
619,5
620,5
624,5
625,5
628,5
630,5
635,5
636,5
637,5
641,5
644,5
648,5
654,5
658,5
664,5
666,5
667,5
670,5
672,5
674,5
676,5
684,5
685,5
693,1
694,5
700,5
702,5
703,5
705,5
711,5
718,5
722,5
726,5
727,5
732,5
735,5
740,5
748,5
750,5
751,5
756,5
762,5
766,5
770,5
771,5
779,5
782,5
784,5
793,5
798,5
800,5
801,5
805,5
807,5
813,5
819,5
820,5
822,5
823,5
833,5
834,5
842,5
845,5
856,5
860,5
864,5
869,5
872,5
877,5
878,5
893,5
894,5
896,5
899,5
900,5
911,5
914,5
917,5
919,5
923,5
925,5
926,5
934,5
938,5
940,5
955,5
956,5
971,5
973,5
978,5
979,5
981,5
988,5
990,5
992,5
996,5
997,5
999,5
1000,5
1006,5
1009,5
1018,5
1025,5
1038,5
1042,1
1045,5
1046,5
1047,5
1050,5
1052,5
1054,5
1057,5
1061,5
1069,5
1071,5
1073,5
1074,5
1075,5
1083,5
1084,5
1089,5
1099,5
1103,5
1110,5
1123,5
1130,5
1135,5
1137,5
1145,5
1147,5
1152,5
1153,5
1154,5
1158,5
1166,5
1170,5
1172,5
1178,5
1179,5
1181,5
1182,5
1183,5
1191,5
1192,5
1200,5
1205,5
1207,5
1208,5
1209,5
1217,5
1223,5
1225,5
1226,5
1228,5
1230,5
1232,5
1235,5
1237,5
1257,5
1266,1
1267,5
1274,5
1277,5
1278,5
1280,5
1282,5
1293,5
1294,5
1305,5
1306,5
1311,5
1318,5
1320,5
1323,5
1325,5
1328,5
1336,5
1340,5
1341,5
1344,5
1345,5
1348,5
1358,5
1361,5
1364,5
1373,5
1377,5
1378,5
1380,5
1382,5
1383,5
1386,5
1387,1
1390,5
1395,5
1398,5
1402,5
1403,5
1405,5
1407,5
1410,1
1412,5
1419,5
1426,5
1428,5
1436,5
1437,5
1438,5
1441,5
1444,5
1448,5
1454,5
1457,5
1459,5
1463,5
1467,5
1471,5
1475,5
1476,5
1480,5
1481,5
1482,5
1489,5
1491,5
1494,5
1496,5
1500,5
1501,5
1503,5
1504,5
1505,5
1515,5
1517,5
1520,5
1521,5
1523,5
1526,5
1529,5
1530,5
1543,5
1544,5
1547,5
1550,5
1552,5
1554,5
1563,5
1574,5
1575,5
1576,5
1579,5
1582,5
1584,5
1585,5
1589,5
1596,5
1598,5
1611,5
1613,5
1615,5
1618,5
1627,5
1630,5
1638,5
1639,5
1640,5
1642,5
1645,5
1648,5
1654,5
1661,5
1662,5
1663,5
1666,5
1668,5
1670,5
1672,5
1681,5
1682,5
1683,5
1687,5
1688,5
1693,5
1694,5
1700,5
1704,5
1712,5
1716,5
1717,5
1722,5
1724,5
1738,5
1739,5
1740,5
1761,5
1763,5
1765,5
1766,5
1767,5
1771,5
1772,5
1777,5
1784,5
1799,5
1806,5
1810,5
1812,5
1814,5
1818,5
1819,5
1822,5
1823,5
1824,5
1834,5
1835,5
1844,5
1848,5
1849,5
1850,5
1851,5
1856,5
1862,6
1863,5
1872,5
1874,1
1875,5
1877,5
1900,5
1902,5
1904,5
1905,5
1908,5
1914,5
1916,5
1922,5
1933,5
1934,5
1939,5
1942,5
1947,5
1957,5
1971,5
1973,1
1974,5
1977,5
1981,5
1985,5
1987,5
1989,5
2001,5
2002,5
2007,5
2008,5
2011,5
2021,5
2034,5
2040,5
2044,5
2045,5
2048,5
2051,5
2062,5
2066,5
2068,5
2069,5
2074,5
2075,5
2078,5
2079,5
2080,5
2081,5
2084,5
2085,5
2087,5
2096,5
2102,5
2103,5
2107,5
2117,5
2118,5
2120,5
2121,5
2122,5
2130,5
2136,5
2138,5
2140,5
2143,5
2144,5
2145,5
2147,5
2150,5
2154,5
2155,5
2166,5
2169,5
2173,5
2176,5
2178,5
2179,5
2180,5
2184,5
2185,5
2188,5
2190,5
2194,5
2195,1
2198,5
2205,5
2206,5
2207,5
2212,5
